"gate","value","threshold","comparison","pass"
"static_conditional_sampled_mean_z",2.31800250106922,5,"<=",TRUE
"static_conditional_sampled_covariance_z",2.11794612050441,5,"<=",TRUE
"dlm_R_dense_mean_absolute_error",2.38697950294409e-15,1e-09,"<=",TRUE
"dlm_cpp_dense_mean_absolute_error",2.38697950294409e-15,1e-09,"<=",TRUE
"dlm_R_cpp_mean_absolute_error",0,1e-10,"<=",TRUE
"dlm_R_dense_marginal_covariance_absolute_error",5.80091530366644e-15,1e-09,"<=",TRUE
"dlm_cpp_dense_marginal_covariance_absolute_error",5.80091530366644e-15,1e-09,"<=",TRUE
"dlm_R_cpp_marginal_covariance_absolute_error",0,1e-10,"<=",TRUE
"dlm_sampled_cross_time_covariance_z",1.62680359813856,5,"<=",TRUE
"dlm_R_repair_count",0,0,"<=",TRUE
"dlm_cpp_repair_count",0,0,"<=",TRUE
"missing_measurement_omission",1,1,"==",TRUE
"seasonal_R_dense_mean_absolute_error",3.33066907387547e-16,1e-09,"<=",TRUE
"seasonal_cpp_dense_mean_absolute_error",4.44089209850063e-16,1e-09,"<=",TRUE
"seasonal_R_cpp_mean_absolute_error",3.33066907387547e-16,1e-10,"<=",TRUE
"seasonal_R_dense_marginal_covariance_absolute_error",3.05311331771918e-16,1e-09,"<=",TRUE
"seasonal_cpp_dense_marginal_covariance_absolute_error",5.96744875736022e-16,1e-09,"<=",TRUE
"seasonal_R_cpp_marginal_covariance_absolute_error",3.33066907387547e-16,1e-10,"<=",TRUE
"seasonal_R_repair_count",0,0,"<=",TRUE
"seasonal_cpp_repair_count",0,0,"<=",TRUE
"seasonal_missing_measurement_omission",1,1,"==",TRUE
"seasonal_evolution_variance",1e-06,1e-06,"==",TRUE
"seasonal_R_sample_finite_zero_repair",1,1,"==",TRUE
"seasonal_cpp_sample_finite_zero_repair",1,1,"==",TRUE
"oracle_matrix_rows",27,27,"==",TRUE
"oracle_matrix_content_residual",1.11022302462516e-16,1e-10,"<=",TRUE
"oracle_matrix_retained_mean_residual",3.80959153112315e-13,1e-10,"<=",TRUE
"oracle_matrix_partial_moment_quadrature_gap",3.80959153112315e-13,1e-10,"<=",TRUE
"oracle_matrix_RQR_exact_zero",1,1,"==",TRUE
"oracle_matrix_ET_index",0,1e-14,"<=",TRUE
"oracle_matrix_AL_SH_index",0,1e-14,"<=",TRUE
"oracle_matrix_symmetric_collapse",2.22044604925031e-16,1e-07,"<=",TRUE
"oracle_matrix_reflection",3.5527136788005e-15,1e-07,"<=",TRUE
"legacy_oracle_rejected",1,1,"==",TRUE
"V5_ET_corrected_tilt",0.0560608464325982,0.0560608464325982,"==",TRUE
"V5_SH_corrected_tilt",0.11472186306441,0.11472186306441,"==",TRUE
