"family","scale_quintile","n_observed","scale_min","scale_max","target","rare_tail_probability","expected_rare_tail_count"
"dlm",1,235,0.330000775289832,0.369681141996629,"ET",0.025,5.87500000000001
"dlm",2,236,0.369681141996629,0.482571975569174,"ET",0.025,5.90000000000001
"dlm",3,235,0.482571975569174,0.621798834172511,"ET",0.025,5.87500000000001
"dlm",4,236,0.622901980458532,0.72832641381766,"ET",0.025,5.90000000000001
"dlm",5,236,0.73031885800337,0.769999224710168,"ET",0.025,5.90000000000001
"dlm",1,235,0.330000775289832,0.369681141996629,"RQR",0.0120825038692552,2.83938840927497
"dlm",2,236,0.369681141996629,0.482571975569174,"RQR",0.0120825038692552,2.85147091314423
"dlm",3,235,0.482571975569174,0.621798834172511,"RQR",0.0120825038692552,2.83938840927497
"dlm",4,236,0.622901980458532,0.72832641381766,"RQR",0.0120825038692552,2.85147091314423
"dlm",5,236,0.73031885800337,0.769999224710168,"RQR",0.0120825038692552,2.85147091314423
"dlm",1,235,0.330000775289832,0.369681141996629,"SH",0.0100000008713087,2.35000020475754
"dlm",2,236,0.369681141996629,0.482571975569174,"SH",0.0100000008713087,2.36000020562884
"dlm",3,235,0.482571975569174,0.621798834172511,"SH",0.0100000008713087,2.35000020475754
"dlm",4,236,0.622901980458532,0.72832641381766,"SH",0.0100000008713087,2.36000020562884
"dlm",5,236,0.73031885800337,0.769999224710168,"SH",0.0100000008713087,2.36000020562884
"fixed_design",1,480,0.38,0.549309913065493,"ET",0.025,12
"fixed_design",2,480,0.549433875045548,0.613977681447851,"ET",0.025,12
"fixed_design",3,480,0.614006262789949,0.700102678598717,"ET",0.025,12
"fixed_design",4,480,0.700377466312247,0.76818611535396,"ET",0.025,12
"fixed_design",5,480,0.768279545165003,0.833831282988484,"ET",0.025,12
"fixed_design",1,480,0.38,0.549309913065493,"RQR",0.0120825038692552,5.7996018572425
"fixed_design",2,480,0.549433875045548,0.613977681447851,"RQR",0.0120825038692552,5.7996018572425
"fixed_design",3,480,0.614006262789949,0.700102678598717,"RQR",0.0120825038692552,5.7996018572425
"fixed_design",4,480,0.700377466312247,0.76818611535396,"RQR",0.0120825038692552,5.7996018572425
"fixed_design",5,480,0.768279545165003,0.833831282988484,"RQR",0.0120825038692552,5.7996018572425
"fixed_design",1,480,0.38,0.549309913065493,"SH",0.0100000008713087,4.80000041822816
"fixed_design",2,480,0.549433875045548,0.613977681447851,"SH",0.0100000008713087,4.80000041822816
"fixed_design",3,480,0.614006262789949,0.700102678598717,"SH",0.0100000008713087,4.80000041822816
"fixed_design",4,480,0.700377466312247,0.76818611535396,"SH",0.0100000008713087,4.80000041822816
"fixed_design",5,480,0.768279545165003,0.833831282988484,"SH",0.0100000008713087,4.80000041822816
